idx,ixoneId,BrandName,Allergens,FreeOf,GlutenFreeYN,NonGMOYN,PaleoYN,SugarSweetener,PrimarySize,PrimarySizeText,PrimarySizeUOM,ProductDescription,SecondarySize,SecondarySizeUOM,IngredientBreakout,IngredientsStatement,ConsumerStorage,Website,UPC12,DistributedBy,HasPanel,HasSupplementPanel,HasNutritionPanel,KetoYN,generalFactPanels,PlantBasedDerivedClaim,Contains,OrganicYN,Process,VeganYN,TertiarySize,TertiarySizeUOM,UsageInstructions,CountryOfOriginName,CountryOfOriginText,ManufacturerCityPackaging,ManufacturerNamePackaging,ManufacturerStatePackaging,ManufacturerZipCodePackaging,UnitCount,CrueltyFreeYN,SocialMedia,SocialMediaAddresses,CertifiedBCorporation,UseOrFreezeBy,QRCode,ManufacturerPhoneNumberPackaging,ManufacturerStreetPackaging,KosherYN,CookingInstructions,ProcessedOnEquipment,ProcessedManufacturedInFacilityStatement,SupplementIngredientStatement,DoesNotContain,WholeGrainYN,AllergensAncillary,InstructionsAncillary,BeeBetterClaim,InFacilityOnEquipmentIncluding,InFacilityOnEquipmentStatement,LiveAndActiveCulture,Grade,FairTradeYN,MarketingClaims,HeartHealthyYN
18,SNL170906,100,100,100.00,100.00,,,,100,100,100,58.86,,,,,,100.00,100,42.54,100,100,100,,100,,,,NaN,,,,100.00,100,43.67,100,51.10,100,100,100,,,,,,,100,,,,,,27.19,89.96,,,,,,,,,,,
19,SNL654130,0.00,100,,,,,,100,0,100,26.57,100,100,100.00,94.58,,100,0,,100,100,100,,100,,100.00,,,,,,,,,100,100,100,100,,,,,,100.00,0.00,,,,,,,,71.74,,,100.00,,,,,100,,,
20,SNL425393,32.47,,,,,,,100,100.00,100,36.66,100,0.00,100.00,0,,100.00,100,,100,100,100,,,,,100.00,,,,,57.79,,,100,56.60,100,100,,,32.47,,,,,100.00,100.00,,,,,,,,,NaN,,,,,,100.00,,
21,SNL659179,100,,,100.00,,,100.00,100,7.66,100,13.79,100,100,72.51,72.51,,100,0,,100,100,100,,100,,41.42,,38.74,,,,,,,100,100,100,100,,,,,,,,,,,,,,,100.00,,,,,,,100.00,100,,,
22,SNL472619,38.75,100,,100.00,,,,100,14.18,100,14.56,100,100,95.65,96.85,100,,100,,100,100,100,,100,,,,100.00,,,,,,,100,71.74,100,100,,,,,,,,,100,,53.05,,,,100.00,,,,,,,,,,100,
23,SNL688999,100,,100,100.00,100.00,,,100,48.29,100,0.00,100,100,,,,26.12,100,,100,100,100,,100,,,,,100.00,,,62.71,,,100,71.74,100,100,100,,,,,,100,,100,,,,,,,,,,,,,,,,53.65,
24,SNL689326,41.42,100,100,,,,,100,100.00,100,32.89,100,0.00,86.92,83.19,100.00,NaN,0,84.42,100,100,100,,100,100.00,,,,100.00,,,,100,100,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,69.82,
25,SNL637040,100,,,,,,100.00,100,0.00,100,30.99,100,100,94.42,94.42,,64.98,100,87.23,100,100,100,,100,,64.36,,,,,,,,,,,,,100,,64.36,56.60,,,100,,,,42.78,,,,82.87,100.00,,,,,,,,,,100.00
26,SNL252267,100,100,100,,100.00,,100.00,100,7.66,100,71.74,100,100,100.00,87.23,100,100,100,100,100,100,100,,98.02,,,100.00,,100.00,,,,100.00,100.00,,,,,,,,,,38.75,,,,,,,,,,,,,,,,,,,,
27,SNL748385,51.10,100.00,,,,,,100,100.00,100,100,100,100,100.00,100.00,,100,100,100.00,100,100,100,,100,,,,,,,,,100,100,,,,,,,76.53,,,,,,,,,100,100.00,,,,100.00,,,,,,,,67.86,
28,SNL463323,100,,,,,,,100,0.00,100,51.10,100,100,,,,100,0,,100,100,100,,,,,100.00,,,,,,,,,,,,,,51.10,,,,,,,,,,,,100.00,,,,,,,,,,18.25,
29,SNL657669,51.10,100.00,,100.00,,,100.00,0,100.00,100,36.27,0,100,100.00,100.00,71.74,97.37,0,80.83,100,100,100,100.00,100,,100.00,,100.00,,,,,100,58.57,,,,,0,,42.23,,,,,,,,,100.00,100,,82.44,,100,,,,,,,,57.92,
30,SNL745854,100,,100,100.00,,100.00,,100,100,100,32.89,100,100,,,,48.79,0,,100,100,100,100.00,100,,100.00,,,,,,76.53,,,0,46.44,0,0,100,,,,,,100,0,0,,,,,45.62,,,,,,,,,,,81.97,
,,79.54645161290321,100,100,100,100,100,96.04,93.54838709677419,72.86290322580645,100,39.84032258064516,92.3076923076923,88.46153846153847,97.09136363636365,89.89,96.86,89.8453846153846,58.064516129032256,82.6925,96.7741935483871,100,100,100,99.29333333333332,100,73.03545454545454,100,92.3425,100,100,100,78.00454545454545,100,90.224,93.33333333333333,77.10400000000001,93.33333333333333,93.33333333333333,83.33333333333333,100,60.43444444444444,76.46666666666668,100,79.58333333333333,57.142857142857146,75,83.33333333333333,100,53.423333333333325,100,100,26.938333333333333,91.48636363636363,100,85.71428571428571,33.333333333333336,100,100,100,100,100,100,64.21000000000001,100
