idx,ixoneId,NutritionPanel,BrandName,Allergens,AllergensAncillary,FreeOf,GlutenFreeYN,NonGMOYN,PaleoYN,SugarSweetener,PrimarySize,PrimarySizeText,PrimarySizeUOM,ProductDescription,SecondarySize,SecondarySizeUOM,IngredientBreakout,IngredientsStatement,InstructionsAncillary,Website,UPC12,DistributedBy,HasPanel,HasSupplementPanel,HasNutritionPanel,KetoYN,generalFactPanels,SupplementPanel,PlantBasedDerivedClaim,Contains,KosherYN,OrganicYN,Process,VeganYN,SupplementIngredientStatement,UsageInstructions,CountryOfOriginName,CountryOfOriginText,ManufacturerCityPackaging,ManufacturerNamePackaging,ManufacturerStatePackaging,ManufacturerZipCodePackaging,CrueltyFreeYN,UnitCount,SocialMedia,SocialMediaAddresses,CertifiedBCorporation,UseOrFreezeBy,QRCode,ManufacturerPhoneNumberPackaging,ManufacturerStreetPackaging,CookingInstructions,ProcessedOnEquipment,ProcessedManufacturedInFacilityStatement,DoesNotContain,WholeGrainYN,BeeBetterClaim,InFacilityOnEquipmentIncluding,InFacilityOnEquipmentStatement,LiveAndActiveCulture,Grade,FairTradeYN,ConsumerStorage,MarketingClaims,HeartHealthyYN
10,SNL210518,NA,100,,,,,100.00,,,100,100.00,100,30.08,0,0.00,92.06,92.06,,100,100,,100,100,100,,100,NA,,,,100.00,,100.00,,,,,100,71.74,100,100,,,26.12,51.10,,,100,,,,,,,,,,,,,,,,
11,SNL158815,NA,100,100,,,100.00,100.00,,,100,51.47,100,51.10,100,100,100.00,100.00,,100,100,71.74,100,100,100,,100,NA,,,,100.00,,100.00,,,,,,,,,,,NaN,,,,,,,,,,96.90,100.00,,,,,,,,,
12,SNL745868,NA,0.00,100.00,100.00,,100.00,100.00,,NaN,100,51.47,100,19.07,100,100,100.00,96.19,NaN,,100,61.82,100,100,100,,100,NA,,0.00,,,,,,,,,,,,,,,,NaN,,,,,,,,,100.00,,100.00,100,100.00,,,,,,
13,SNL745863,NA,0.00,100.00,100,,100.00,100.00,,NaN,100,100,100,19.07,100,100,100.00,100,0.00,,100,61.82,100,100,100,,100,NA,,58.86,,,,,,,,,,,,,,,,NaN,,,,,,,,,82.44,,,100,100.00,,,,,,
14,SNL742451,NA,100,,,,,,,,100,100,100,51.10,100,100,100.00,100.00,,,100,57.54,100,100,100,,,NA,,,,,100.00,,,82.44,100,100,,,,,100.00,,,,100.00,,,,,,,,100.00,,,,,,,,,,
15,SNL250618,NA,100,100.00,100.00,100.00,,,,,100,100,100,71.74,,,,,0.00,75.81,0,85.95,100,100,100,,100,NA,,100.00,,,,,14.38,89.19,100,100,,,,,,100,,,,,,,,,,,NaN,,,,,,,,,,
16,SNL245009,NA,100,100,0.00,100.00,100.00,,,,100,100,100,100,,,,,NaN,100,0,,100,100,100,,100,NA,,,,,,100.00,22.77,85.95,100,100,100,100,100,100,,100,,,,,,,,,,,,,,,,,,,,,
17,SNL163949,NA,100,,,100.00,100.00,100.00,,,100,100,100,30.29,,,,,NaN,100.00,0,,100,100,100,,100,NA,100.00,38.75,,,,,13.42,43.92,100,100,100,100,100,100,,100,,,,,,,,,,,NaN,,,,,100.00,,,,,
18,SNL170906,NA,100,100,,100.00,100.00,,,,100,100,100,58.86,,,,,,100.00,100,42.54,100,100,100,,100,NA,,,,,NaN,,27.19,100.00,100,43.67,100,51.10,100,100,,100,,,,,,100,,,,,89.96,,,,,,,,,,
19,SNL654130,NA,0.00,100,,,,,,,100,0,100,26.57,100,100,100.00,94.58,100.00,100,0,,100,100,100,,100,NA,,100.00,,,,,,,,,100,100,100,100,,,,,,100.00,0.00,,,,,,71.74,,,,,,100,,,,
20,SNL425393,NA,32.47,,,,,,,,100,100.00,100,36.66,100,0.00,100.00,0,NaN,100.00,100,,100,100,100,,,NA,,,,100.00,,,,57.79,,,100,56.60,100,100,,,32.47,,,,,100.00,100.00,,,,,,,,,,,100.00,,,
21,SNL659179,NA,100,,,,100.00,,,100.00,100,7.66,100,13.79,100,100,72.51,72.51,,100,0,,100,100,100,,100,NA,,41.42,,,38.74,,,,,,100,100,100,100,,,,,,,,,,,,,100.00,,,,,100.00,100,,,,
22,SNL472619,NA,38.75,100,,,100.00,,,,100,14.18,100,14.56,100,100,95.65,96.85,,,100,,100,100,100,,100,NA,,,,,100.00,,,,,,100,71.74,100,100,,,,,,,,,100,53.05,,,100.00,,,,,,,,100,100,
23,SNL688999,NA,100,,,100,100.00,100.00,,,100,48.29,100,0.00,100,100,,,,26.12,100,,100,100,100,,100,NA,,,,,,100.00,,62.71,,,100,71.74,100,100,,100,,,,,100,,100,,,,,,,,,,,,,53.65,
24,SNL689326,NA,41.42,100,100.00,100,,,,,100,100.00,100,32.89,100,0.00,86.92,83.19,,NaN,0,84.42,100,100,100,,100,NA,100.00,,,,,100.00,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,100.00,69.82,
25,SNL637040,NA,100,,,,,,,100.00,100,0.00,100,30.99,100,100,94.42,94.42,,64.98,100,87.23,100,100,100,,100,NA,,64.36,,,,,,,,,,,,,,100,64.36,56.60,,,100,,,42.78,,,82.87,100.00,,,,,,,,,100.00
26,SNL252267,NA,100,100,100.00,100,,100.00,,100.00,100,7.66,100,71.74,100,100,87.23,78.36,,100,100,100.00,100,100,100,,100,NA,,,,100.00,,100.00,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,71.74,95.56,
27,SNL748385,NA,51.10,100.00,100.00,,,,,,100,100.00,100,100,100,100,100.00,100.00,,100,100,100.00,100,100,100,,100,NA,,,,,,,,,100,100,,,,,,,76.53,,,,,,,,100,100.00,,,,,,,,,,67.86,
28,SNL463323,NA,100,,,,,,,,100,0.00,100,51.10,100,100,,,,100,0,,100,100,100,,,NA,,,,100.00,,,,,,,,,,,,,51.10,,,,,,,,,,100.00,,,,,,,,,18.25,
29,SNL657669,NA,51.10,100.00,100,,100.00,,,100.00,0,100.00,100,36.27,0,100,100.00,100.00,,97.37,0,80.83,100,100,100,100.00,100,NA,,100.00,,,100.00,,,,100,58.57,,,,,,0,42.23,,,,,,,,100.00,100,82.44,,,,,,,,71.74,57.92,
30,SNL745854,NA,100,,,100,100.00,,100.00,,100,100,100,32.89,100,100,,,,48.79,0,,100,100,100,100.00,100,NA,,100.00,,,,,45.62,76.53,,,0,46.44,0,0,,100,,,,,100,0,0,,,,,,,,,,,,,81.97,
